date,n,prop
2023-12-01,17,0.472
2024-01-01,22,0.237
2024-02-01,13,0.148
2024-03-01,18,0.191
2024-04-01,16,0.18
2024-05-01,29,0.309
2024-06-01,20,0.217
2024-07-01,30,0.312
2024-08-01,28,0.289
2024-09-01,19,0.2
2024-10-01,45,0.433
2024-11-01,35,0.365
2024-12-01,17,0.395
